"Last Updated : 2026.06.25 (현재 미래시 간격 : 19주)

[일정 표기 안내] 한국/글로벌 서버 미래시를 일본 선행 서버 기준 6개월 → 3개월로 단축 공지하였고, 2025년 초부터 점진적으로 단축 중입니다. 이에 따라, 미래시 시트도 일정의 정확성이 떨어질 수 있는 점 참고 바랍니다. 미래시 간격이 3개월로 고정될 때까지 확정된 일정은 푸른색으로, 변경 가능성이 있는 일본 선행 서버 기준 일정은 붉은색으로 표기하겠습니다.",,,,,
,,,,,
,,,,,
,,,,,
예상 일정,픽업 학생 정보,,,,이벤트 & 업데이트
06/23 ~ 07/07,,유즈(무장),,에이미(무장),
,,3성 통상 - 첫출시,,3성 통상 - 첫출시,
,,SPECIAL 서포터,,STRIKER 딜러,
,,신비 특수장갑,,폭발 경장갑,
,,아군1코감/아군공증,,정밀조준/폭발특효가산,
,,,,,
07/07 ~ 07/14,,모모이(메이드),,미도리(메이드),"메인스토리 Ex.데카그라마톤 3장 Part.4
(6/23 ~ 6/30 4:00) 연합작전: 데카그라마톤 결전
(6/23~ 6/30 4:00) 임무(Normal) 2배 이벤트
제약해제결전 : 세트의 분노 (폭발/특수장갑) 개방
메인스토리 Ex.데카그라마톤 1장 한국어 더빙

(6/30 ~ 7/7 4:00) 비나(야전) 총력전
(6/30 ~ 7/7 4:00) 현상수배 2배 이벤트
(6/30 ~ 7/14 11:00) 게임개발부 청소 대작전! 이벤트
(6/30 ~ 7/14 11:00) '발렌타인데이의 약속' 이벤트

(7/7 ~ 7/14 4:00) 종합전술시험(사격)"
,,3성 통상 - 복각,,3성 통상 - 복각,
,,STRIKER 딜러,,STRIKER 딜러,
,,진동 경장갑,,진동 경장갑,
,,自공속추뎀/즉시재장전,,自진동특효가산/적1공,
,,,,,
,,아리스(메이드),,카요코(새해),
,,3성 통상 - 복각,,3성 통상 - 복각,
,,STRIKER 딜러,,STRIKER 서포터,
,,신비 경장갑,,신비 특수장갑,
,,自신비특효가산/적1공,,아군1 신비특효+치명↑,
,,,,,
07/07 ~ 07/14,,아즈사(수영복),,마시로(수영복),"
(7/7 ~ 7/14 11:00) 한정 캐릭터 *앵콜 모집 개최

픽업 기간 동안 모집 대상 학생을 한 명 설정할 수 있고,
첫 영입시 초회 보너스로 엘레프 100개 획득
(보너스 이후 반복 설정해도 엘레프 추가 획득 불가)

200회 모집 앵콜 포인트로 픽업 학생 교환 가능
(다른 픽업과 모집 포인트 공유 불가능)

앵콜 포인트는 이월 불가능
(픽업 종료 후 잔여 포인트는 기동석으로 변환)"
,,3성 한정 *앵콜,,3성 한정 *앵콜,
,,STRIKER 딜러,,SPECIAL 딜러,
,,신비 경장갑,,신비 경장갑,
,,적1공+오한/방깎,,적1공+회피디버프,
,,,,,
,,히나(수영복),,이오리(수영복),
,,3성 한정 *앵콜,,3성 한정 *앵콜,
,,STRIKER 딜러,,STRIKER 딜러,
,,폭발 중장갑,,폭발 특수장갑,
,,부채꼴범위 5인 공격,,원형범위딜/적1도트딜,
,,,,,
,,카린(바니걸),,네루(바니걸),
,,3성 한정 *앵콜,,3성 한정 *앵콜,
,,STRIKER 딜러,,STRIKER 탱커,
,,신비 중장갑,,폭발 중장갑,
